"","word","score","sentiment0"
"1470","amazing",4,"positive"
"1471","congrats",2,"positive"
"1472","love",3,"positive"
"1473","agree",1,"positive"
"1474","funny",4,"positive"
"1475","stop",-1,"negative"
"1476","love",3,"positive"
"1477","beautiful",3,"positive"
"1478","share",1,"positive"
"1479","missed",-2,"negative"
"1480","agree",1,"positive"
"1481","laugh",1,"positive"
"1482","happiness",3,"positive"
"1483","inspires",2,"positive"
"1484","love",3,"positive"
"1485","lol",3,"positive"
"1486","grand",3,"positive"
"1487","lonely",-2,"negative"
"1488","fun",4,"positive"
"1489","true",2,"positive"
"1490","happiness",3,"positive"
"1491","inspires",2,"positive"
"1492","love",3,"positive"
"1493","beautiful",3,"positive"
"1494","love",3,"positive"
"1495","awesome",4,"positive"
"1496","wonderful",4,"positive"
"1497","amazing",4,"positive"
"1498","haha",3,"positive"
"1499","lucky",3,"positive"
"1500","easy",1,"positive"
"1501","agree",1,"positive"
"1502","love",3,"positive"
"1503","beautiful",3,"positive"
"1504","fascinating",3,"positive"
"1505","fortunate",2,"positive"
"1506","love",3,"positive"
"1507","amazing",4,"positive"
"1508","haha",3,"positive"
"1509","true",2,"positive"
"1510","vicious",-2,"negative"
"1511","love",3,"positive"
"1512","love",3,"positive"
"1513","hard",-1,"negative"
"1514","ha",2,"positive"
"1515","thoughtful",2,"positive"
"1516","loss",-3,"negative"
"1517","love",3,"positive"
"1518","wonderful",4,"positive"
"1519","happy",3,"positive"
"1520","desire",1,"positive"
"1521","wonderful",4,"positive"
"1522","vicious",-2,"negative"
"1523","meaningless",-2,"negative"
"1524","lol",3,"positive"
"1525","amazing",4,"positive"
"1526","excitement",3,"positive"
"1527","love",3,"positive"
"1528","rich",2,"positive"
"1529","stopped",-1,"negative"
"1530","pretty",1,"positive"
"1531","true",2,"positive"
"1532","worth",2,"positive"
"1533","warm",1,"positive"
"1534","amazing",4,"positive"
"1535","love",3,"positive"
"1536","beautiful",3,"positive"
"1537","honor",2,"positive"
"1538","ruins",-2,"negative"
"1539","love",3,"positive"
"1540","love",3,"positive"
"1541","rich",2,"positive"
"1542","love",3,"positive"
"1543","enjoy",2,"positive"
"1544","love",3,"positive"
"1545","love",3,"positive"
"1546","love",3,"positive"
"1547","perfect",3,"positive"
"1548","pretty",1,"positive"
"1549","awesome",4,"positive"
"1550","love",3,"positive"
"1551","ignore",-1,"negative"
"1552","madness",-3,"negative"
"1553","loyalty",3,"positive"
"1554","reaches",1,"positive"
"1555","amazing",4,"positive"
"1556","inspired",2,"positive"
"1557","free",1,"positive"
"1558","love",3,"positive"
"1559","justice",2,"positive"
"1560","accept",1,"positive"
"1561","celebrate",3,"positive"
"1562","forget",-1,"negative"
"1563","bad",-3,"negative"
"1564","sentence",-2,"negative"
"1565","sentence",-2,"negative"
"1566","love",3,"positive"
"1567","adventure",2,"positive"
"1568","meaningless",-2,"negative"
"1569","fun",4,"positive"
"1570","love",3,"positive"
"1571","adore",3,"positive"
"1572","ruins",-2,"negative"
"1573","beautiful",3,"positive"
"1574","spam",-2,"negative"
"1575","beautiful",3,"positive"
"1576","happy",3,"positive"
"1577","sentence",-2,"negative"
"1578","sentence",-2,"negative"
"1579","sweet",2,"positive"
"1580","share",1,"positive"
"1581","sentence",-2,"negative"
"1582","love",3,"positive"
"1583","sentence",-2,"negative"
"1584","amazing",4,"positive"
"1585","gift",2,"positive"
"1586","amazing",4,"positive"
"1587","ruins",-2,"negative"
"1588","loved",3,"positive"
"1589","stopped",-1,"negative"
"1590","dream",1,"positive"
"1591","dream",1,"positive"
"1592","humor",2,"positive"
"1593","love",3,"positive"
"1594","pay",-1,"negative"
"1595","excited",3,"positive"
"1596","awesome",4,"positive"
"1597","share",1,"positive"
"1598","amazing",4,"positive"
"1599","missing",-2,"negative"
"1600","fun",4,"positive"
"1601","hard",-1,"negative"
"1602","beautiful",3,"positive"
"1603","love",3,"positive"
"1604","grand",3,"positive"
"1605","rescue",2,"positive"
"1606","amazing",4,"positive"
"1607","leave",-1,"negative"
"1608","amazing",4,"positive"
"1609","beautiful",3,"positive"
"1610","amazing",4,"positive"
"1611","limited",-1,"negative"
"1612","restriction",-2,"negative"
"1613","apologize",-1,"negative"
"1614","love",3,"positive"
"1615","love",3,"positive"
"1616","celebrated",3,"positive"
